Date Published,Status,Aircraft,Travel Type,Travel Class,Route,Date Flown,Seating Comfort,Staff Service,Food Quality,Entertainment,WiFi,Ground Service,Value for Money,Recommended,Country,New Overall Rating
7/16/23,Trip Verified,A380-800,Family Leisure,Economy Class,New York to Milan,22-Nov,1,1,1,1,1,1,1,no,United States,1
6/25/23,Trip Verified,Boeing 777,Solo Leisure,Economy Class,Dubai to Colombo,23-Jun,4,5,4,4,1,3,4,yes,Sri Lanka,5
6/24/23,Trip Verified,Boeing 777,Business,Economy Class,Birmingham to Dubai,23-Jun,3,5,5,5,5,5,3,yes,United Arab Emirates,5
6/17/23,Trip Verified,A380,Business,Business Class,Glasgow to Dubai,23-May,4,2,2,4,3,3,2,no,United Kingdom,2
6/6/23,Trip Verified,Boeing 777-300 / A380,Solo Leisure,Economy Class,Birmingham to Auckland via Dubai,23-Jun,4,5,5,5,5,4,4,yes,New Zealand,5
5/29/23,Trip Verified,Boeing 777,Business,Economy Class,Lisbon to Dubai,23-May,3,5,4,5,4,4,4,yes,Portugal,4
5/27/23,Trip Verified,Boeing 777 / A380,Business,First Class,Hamburg to Bangkok via Dubai,23-May,5,5,5,5,5,5,5,yes,Germany,5
5/18/23,Trip Verified,Boeing 777,Solo Leisure,Economy Class,Amsterdam to Durban via Dubai,23-May,1,3,1,4,1,1,1,no,South Africa,1
5/15/23,Not Verified,A380,Business,Economy Class,Dubai to Paris,23-May,3,2,2,2,5,1,2,no,Australia,3
5/13/23,Trip Verified,Boeing 777,Couple Leisure,Economy Class,London to Phuket via Dubai,23-May,1,1,1,1,1,3,2,no,United Kingdom,1
4/24/23,Trip Verified,A380,Couple Leisure,Business Class,Seoul to Seychelles via Dubai,23-Apr,4,4,5,5,3,5,5,yes,South Korea,5
4/24/23,Trip Verified,A380,Couple Leisure,Business Class,Dubai to Seoul,23-Apr,4,2,5,5,3,5,4,no,South Korea,3
4/24/23,Trip Verified,A380,Couple Leisure,Business Class,Mauritius to Dubai,23-Apr,4,5,5,5,2,5,5,yes,South Korea,5
2/26/23,Not Verified,Boeing 777,Couple Leisure,Economy Class,Copenhagen to Dubai,23-Feb,1,1,1,1,1,1,1,no,Denmark,1
2/25/23,Trip Verified,A380,Family Leisure,First Class,Sydney to Dubai,22-Dec,3,1,1,2,1,1,1,no,Australia,1
1/29/23,Trip Verified,Boeing 777-300ER,Business,Economy Class,Miami to Jakarta via Dubai,23-Jan,4,5,5,5,3,5,5,yes,United States,5
1/16/23,Trip Verified,A380,Business,Economy Class,Dubai to Bangalore,23-Jan,3,2,4,4,3,1,2,no,United States,1
1/15/23,Trip Verified,"1 x Boeing 777, 3 x A380",Solo Leisure,Business Class,"Cape Town to Johannesburg via Dubai, Bangkok, Kuala Lumpur",23-Jan,4,5,4,5,3,5,5,yes,South Africa,5
1/5/23,Not Verified,Boeing 777-300,Couple Leisure,Business Class,Bali to London Gatwick via Dubai,23-Jan,1,1,1,1,1,1,1,no,United Kingdom,1
12/29/22,Trip Verified,Boeing 777-300ER,Couple Leisure,Economy Class,Seattle to Dubai,22-Nov,2,1,1,3,1,5,1,no,United States,1
12/20/22,Trip Verified,A380,Business,Business Class,Dubai to Amsterdam,22-Dec,4,3,2,4,1,1,2,no,Netherlands,2
12/13/22,Trip Verified,A380,Solo Leisure,Economy Class,Tokyo Narita to Dubai,22-Dec,3,2,5,5,1,3,3,yes,Bahrain,3
11/27/22,Trip Verified,Boeing 777-31H (ER),Family Leisure,Economy Class,Peshawar to Dubai,22-Nov,1,3,1,1,1,2,2,no,United Arab Emirates,1
10/30/22,Trip Verified,Boeing-777-300,Solo Leisure,Economy Class,Dubai to Denpasar,22-Oct,1,1,1,1,1,1,1,no,Indonesia,1
9/14/22,Trip Verified,Boeing777-300er,Solo Leisure,Economy Class,Bahrain to Birmingham via Dubai,22-Aug,3,2,2,3,2,2,4,no,Bahrain,2
8/29/22,Trip Verified,A380,Couple Leisure,Premium Economy,Dubai to Brisbane,22-Aug,1,2,2,2,3,1,1,no,Australia,2
8/28/22,Trip Verified,Boeing 777-300ER,Solo Leisure,Economy Class,Dallas Ft Worth to Dubai,22-Aug,4,5,5,5,5,5,5,yes,United States,5
8/24/22,Trip Verified,A380,Family Leisure,Economy Class,Beirut to Sydney via Dubai,22-Aug,1,1,1,1,1,1,1,no,Australia,1
8/20/22,Not Verified,A380-Boeing 777,Family Leisure,Economy Class,Bahrain to Delhi via Dubai,22-Aug,4,4,5,5,4,2,3,yes,Bahrain,3
7/25/22,Trip Verified,Boeing 777,Solo Leisure,Business Class,Dubrovnik to Tokyo Narita via Dubai,22-Jul,1,1,1,1,1,1,1,no,Japan,1
7/17/22,Not Verified,A380 / Boeing 777,Business,Business Class,Dammam to Los Angeles via Dubai,22-May,4,5,4,5,4,4,5,yes,United States,5
7/6/22,Trip Verified,A380,Solo Leisure,Economy Class,London to Dubai,22-Jul,4,2,3,4,2,2,2,no,United Arab Emirates,2
6/16/22,Trip Verified,Boeing 777-300,Family Leisure,Economy Class,Ho Chi Minh City to Birmingham UK via Dubai,22-Jun,2,2,1,1,2,3,1,no,Vietnam,1
6/9/22,Trip Verified,Boeing 777,Business,Business Class,Dubai to Algiers ,22-Apr,1,4,1,1,1,2,1,no,United States,2
6/6/22,Trip Verified,Boeing 777,Family Leisure,Economy Class,Houston to Tbilisi via Dubai,22-May,1,1,1,2,1,1,1,no,United States,1
6/6/22,Trip Verified,A380-800,Solo Leisure,First Class,New York to Milan,22-Jun,4,3,4,4,2,1,3,yes,Italy,4
5/29/22,Trip Verified,Boeing 777,Family Leisure,Economy Class,New York to Islamabad via Dubai,22-May,4,5,3,3,2,3,3,yes,United States,3
5/15/22,Not Verified,Boring 777,Solo Leisure,Economy Class,Dallas to Tehran via Dubai,21-Nov,2,2,1,1,1,2,1,no,United States,1
5/8/22,Trip Verified,Boeing 777,Solo Leisure,Economy Class,Tehran to Seattle via Dubai,22-May,1,3,3,3,3,1,3,no,United States,1
5/4/22,Trip Verified,Boeing 777,Solo Leisure,Business Class,Hong Kong to Bangkok,22-Apr,3,3,2,4,3,4,5,yes,Hong Kong,3
4/16/22,Trip Verified,A380,Business,Economy Class,Dubai to Sydney,22-Apr,4,3,3,5,4,3,3,yes,United Arab Emirates,3
4/13/22,Trip Verified,A380,Couple Leisure,Business Class,London to Dubai ,22-Apr,5,1,2,4,1,3,1,no,United Kingdom,1
4/10/22,Trip Verified,A380,Solo Leisure,Economy Class,Amman to Los Angeles via Dubai,22-Apr,3,3,3,4,3,3,1,no,United States,1
3/28/22,Trip Verified,A380,Business,Economy Class,Dubai to London,22-Mar,1,1,2,2,1,1,1,no,United Kingdom,1
3/11/22,Trip Verified,Boeing 777-300ER,Family Leisure,Economy Class,Dallas to Kabul via Dubai,18-Feb,1,1,1,1,1,1,1,no,United States,1
3/7/22,Trip Verified,Boeing 777-300 ER,Family Leisure,Economy Class,Melbourne to Trivandrum via Dubai,21-Dec,2,3,4,3,3,3,2,no,Australia,2
2/12/22,Trip Verified,Boeing 777-300er,Solo Leisure,Business Class,Phuket to Dubai,22-Feb,1,4,2,4,4,2,3,yes,United Arab Emirates,3
2/8/22,Trip Verified,A380,Business,Economy Class,Dubai to Paris,22-Feb,5,5,5,5,5,5,5,yes,Australia,5
1/8/22,Trip Verified,A380 / Boeing 777,Business,Business Class,London to Melbourne via Dubai,22-Jan,2,2,3,2,1,1,1,no,Australia,1
12/11/21,Trip Verified,Boeing 777,Family Leisure,Economy Class,Dubai to Dallas Fort Worth,21-Nov,1,1,3,3,1,3,3,no,United States,1
11/13/21,Not Verified,Boeing 777-300ER,Couple Leisure,Economy Class,Dubai to Brussels,21-Nov,5,5,5,5,5,4,4,yes,Belgium,5
10/20/21,Trip Verified,Boeing 777-300ER,Solo Leisure,Economy Class,Male to Dubai,21-Oct,4,5,5,5,5,5,5,yes,United States,5
9/30/21,Trip Verified,Boeing 777-300,Solo Leisure,Business Class,Athens to Newark,21-Sep,3,5,1,2,1,2,1,no,United States,1
9/20/21,Trip Verified,A380-800,Family Leisure,Economy Class,Dubai to Vienna,21-Sep,5,5,4,5,5,3,4,yes,Austria,4
8/12/21,Not Verified,A380,Family Leisure,Economy Class,Dubai to Cairo,21-Aug,3,1,1,1,1,1,1,no,United Arab Emirates,1
8/11/21,Not Verified,A380,Couple Leisure,Economy Class,Los Angeles to Tehran via Dubai,21-Aug,4,3,3,4,1,1,3,no,United States,2
7/5/21,Trip Verified,Boeing 777,Solo Leisure,Economy Class,Toronto to Dubai,21-Jun,3,3,4,4,2,4,2,no,Canada,3
6/5/21,Trip Verified,Boeing 777-300R,Couple Leisure,Economy Class,Dubai to Nairobi,21-May,4,5,4,4,3,4,4,yes,United Arab Emirates,4
5/26/21,Trip Verified,Boeing 777-300ER,Family Leisure,Economy Class,San Francisco to Kabul via Dubai,21-May,1,2,2,1,1,1,2,no,United States,1
5/13/21,Trip Verified,A380,Family Leisure,Business Class,Dubai to Cairo,21-Apr,5,5,4,4,3,5,4,yes,United Arab Emirates,5
3/24/21,Trip Verified,Boeing 737-300,Couple Leisure,Business Class,Dubai to Chicago,21-Mar,2,1,1,4,4,4,1,no,United States,2
4/6/20,Trip Verified,A380,Couple Leisure,Economy Class,Mauritius to Zurich via Dubai,20-Mar,2,1,1,3,1,3,2,no,Switzerland,2
3/28/20,Trip Verified,Boeing 777 -300 / A380,Business,Business Class,London to Cochi via Dubai,20-Feb,5,3,3,3,2,4,3,no,United Kingdom,3
3/27/20,Trip Verified,B777,Family Leisure,Economy Class,Saint-Petersburg to Denpasar via Dubai ,20-Mar,1,1,1,1,1,1,1,no,Russian Federation,1
3/20/20,Trip Verified,Boeing 777-300,Solo Leisure,Business Class,Cape Town to Glasgow via Dubai,20-Mar,4,5,4,4,5,3,4,yes,United Kingdom,4
3/10/20,Trip Verified,A380 / Boeing 777,Solo Leisure,Economy Class,Gatwick to Ahmedabad via Dubai,20-Mar,4,1,1,5,5,4,3,no,United Kingdom,1
3/6/20,Not Verified,"A380, B777",Couple Leisure,Economy Class,Washington to Bangalore via Dubai,20-Feb,3,3,3,5,3,3,3,yes,United States,4
2/27/20,Trip Verified,A380 / Boeing 777,Solo Leisure,Economy Class,London to Kolkata via Dubai,20-Feb,4,2,3,5,1,2,3,no,United Kingdom,4
2/24/20,Trip Verified,Boeing 777-300ER,Solo Leisure,Business Class,Orlando to Dubai,20-Feb,4,5,5,5,5,5,5,yes,United States,5
2/16/20,Not Verified,Boeing 777-300ER,Business,Business Class,Ho Chi Minh City to Newark via Dubai,20-Feb,2,3,3,2,3,2,2,no,Singapore,2
2/8/20,Trip Verified,Boeing 777‐300ER / A380‐800,Family Leisure,Economy Class,Brisbane to Zurich via Dubai,19-Dec,1,1,3,5,5,1,1,no,Australia,1
2/8/20,Trip Verified,Boeing 777-300 / A380,Family Leisure,Economy Class,Bangalore to Rome via Dubai,20-Jan,4,4,4,4,3,4,4,yes,India,4
2/7/20,Trip Verified,Boeing 777 / A380,Family Leisure,Economy Class,Kolkata to New York JFK via Dubai,20-Feb,4,4,2,5,5,4,2,no,India,3
2/4/20,Trip Verified,A380,Family Leisure,Economy Class,Bombay to Manchester via Dubai,20-Feb,3,5,1,2,1,1,2,no,United Kingdom,1
1/29/20,Trip Verified,A380,Business,Business Class,Bangkok to Birmingham via Dubai,20-Jan,4,5,5,3,2,5,4,yes,United Kingdom,5
1/29/20,Trip Verified,Boeing 777-300,Business,Business Class,Johannesburg to Phuket via Dubai,20-Jan,2,2,2,4,3,3,3,no,South Africa,3
1/25/20,Not Verified,Boeing 777,Solo Leisure,Economy Class,Dubai to Denpasar ,20-Jan,3,1,1,5,3,3,2,no,Netherlands,3
1/17/20,Trip Verified,A380,Solo Leisure,Economy Class,Hong Kong to Prague via Dubai,20-Jan,5,3,3,4,5,4,5,yes,Hong Kong,4
1/10/20,Trip Verified,Boeing 777-200,Business,Economy Class,Dubai to Lisbon,20-Jan,4,1,1,4,5,5,1,no,Portugal,2
12/27/19,Trip Verified,A380,Solo Leisure,Economy Class,London to Sydney via Dubai,19-Nov,4,3,4,4,4,2,4,yes,United Kingdom,3
12/27/19,Trip Verified,A380,Solo Leisure,Business Class,Dubai to Manchester,19-Dec,3,2,2,3,2,2,3,yes,Australia,2
12/27/19,Trip Verified,A380,Solo Leisure,First Class,Sydney to Dubai,19-Dec,4,3,5,3,3,5,3,yes,Australia,3
12/17/19,Trip Verified,Boeing 777,Solo Leisure,Economy Class,Dallas to Dubai,19-Dec,1,1,1,2,1,1,1,no,United States,1
12/13/19,Not Verified,A380-800,Couple Leisure,Economy Class,Milan to Port Louis via Dubai,19-Nov,5,5,5,5,5,5,5,yes,Italy,5
12/8/19,Trip Verified,A380,Business,Economy Class,Dubai to Tokyo,19-Nov,2,1,1,1,1,1,1,no,Singapore,1
12/6/19,Not Verified,A380,Solo Leisure,Economy Class,Birmingham to Hong Kong via Dubai,19-Nov,3,4,1,5,3,1,2,no,Hong Kong,1
11/10/19,Trip Verified,Boeing 777-300ER,Solo Leisure,Economy Class,Newark to Kolkata via Athens and Dubai,19-Sep,3,2,3,3,1,2,1,no,United States,1
10/26/19,Trip Verified,Boeing 777-300ER,Solo Leisure,Business Class,Manila to London via Dubai,19-Oct,4,5,5,5,3,3,4,yes,United Kingdom,4
10/24/19,Not Verified,A380-800 / Boeing 777-300ER,Family Leisure,Economy Class,Riyadh to Manila via Dubai,19-Oct,4,3,3,4,3,3,4,yes,Saudi Arabia,3
10/20/19,Trip Verified,Boeing 777,Solo Leisure,Economy Class,Islamabad to Newark via Dubai,19-May,2,1,2,3,1,1,2,no,United States,1
10/16/19,Trip Verified,A380,Business,Economy Class,Melbourne to Amsterdam via Dubai,19-Sep,3,2,3,4,3,5,3,no,Australia,3
10/16/19,Trip Verified,A380,Business,Economy Class,Frankfurt to Singapore via Dubai,19-Oct,4,3,3,4,3,1,3,no,Singapore,1
10/16/19,Not Verified,Boeing 777-300ER,Couple Leisure,Economy Class,Newark to Athens,19-Oct,1,2,1,1,1,1,1,no,United States,1
10/16/19,Trip Verified,Boeing 777-300 ER,Business,Economy Class,Athens to Tokyo via Dubai,19-Oct,5,5,5,5,2,4,5,yes,Greece,5
10/14/19,Trip Verified,A380,Couple Leisure,Economy Class,Male to London via Dubai,19-Oct,1,1,3,4,3,1,1,no,United Kingdom,1
10/14/19,Not Verified,Boeing 777,Business,Economy Class,New Dehli to Dubai,19-Oct,1,1,1,1,1,1,1,no,France,1
10/11/19,Not Verified,A380,Solo Leisure,Business Class,Sydney to Prague via Dubai,19-Aug,5,5,5,5,5,5,5,yes,Australia,5
10/10/19,Trip Verified,A380,Business,Business Class,Dubai to Munich,19-Oct,4,5,4,1,1,5,3,no,Germany,3
10/4/19,Trip Verified,A380,Family Leisure,Economy Class,Trivandrum to New York via Dubai,19-Sep,4,4,1,2,1,4,3,no,United States,1
9/25/19,Not Verified,A380,Solo Leisure,Economy Class,Johannesburg to London via Dubai,19-Sep,3,5,5,5,4,5,5,yes,South Africa,5
9/25/19,Trip Verified,Boeing 777 300,Solo Leisure,First Class,Denpasar to Auckland,19-Aug,5,1,2,2,1,2,3,no,Australia,2
9/12/19,Trip Verified,Boeing 777,Solo Leisure,Business Class,Chennai to Warsaw via Dubai,19-Apr,5,5,5,5,4,5,4,yes,Poland,5
8/27/19,Trip Verified,A380,Family Leisure,Economy Class,Toronto to Mumbai via Dubai,19-Aug,4,3,3,4,3,1,1,no,Canada,1
8/12/19,Trip Verified,Boeing 777-300 / A380-800,Family Leisure,Economy Class,Colombo to Zurich via Dubai,19-Jul,1,1,1,1,1,1,1,no,Sri Lanka,1
8/10/19,Trip Verified,Boeing 777,Business,Business Class,Dubai to Melbourne via Singapore,19-Aug,4,1,2,3,3,2,2,no,Australia,1
8/7/19,Trip Verified,A380,Family Leisure,Economy Class,Los Angeles to Mumbai via Dubai,19-Jul,1,1,1,1,1,1,1,no,United States,1
8/4/19,Trip Verified,Boeing 777-300 ER,Family Leisure,Economy Class,Dubai to Chicago,19-Aug,3,1,1,4,3,4,2,no,United States,2
7/24/19,Trip Verified,A380,Couple Leisure,Economy Class,Dublin to Bangkok via Dubai,19-Jul,2,1,4,2,3,5,3,no,Ireland,3
7/18/19,Trip Verified,A380,Family Leisure,Economy Class,Singapore to London via Dubai,19-Jun,4,3,5,5,4,4,5,yes,Singapore,4
7/17/19,Trip Verified,A380,Couple Leisure,Business Class,Milan to Male via Dubai,19-Mar,5,5,5,5,5,5,5,yes,Italy,5
7/8/19,Trip Verified,Boeing 777-300 ER & A380-800,Family Leisure,Economy Class,Kuwait to Amman via Dubai,19-Jul,4,4,4,4,1,3,4,yes,Kuwait,4
6/27/19,Trip Verified,Boeing 777-300ER,Family Leisure,Economy Class,Venice to Dubai,18-Oct,5,5,5,5,5,5,4,yes,Austria,5
6/24/19,Not Verified,A380,Business,First Class,Brussels to Sydney via Dubai,19-Jun,5,5,3,5,2,5,5,yes,Belgium,5
6/20/19,Trip Verified,Boeing 747-400,Family Leisure,Economy Class,Dubai to Manila ,19-Feb,2,1,1,2,1,1,1,no,United Arab Emirates,1
6/19/19,Trip Verified,Boeing 777,Solo Leisure,Economy Class,Beirut to Dubai,19-Jun,5,5,5,5,5,1,3,no,United Arab Emirates,3
6/16/19,Trip Verified,"Boeing 777-300ER, A380",Business,Business Class,Addis Ababa to Bangkok via Dubai,19-Jun,5,4,3,5,5,5,4,yes,Vietnam,4
6/5/19,Not Verified,Boeing 777,Solo Leisure,Business Class,Dubai to Hyderabad,19-Jun,4,2,2,3,3,2,2,no,United Arab Emirates,2
6/4/19,Trip Verified,A380-800,Business,Business Class,Milan to New York,19-Jun,4,4,4,5,2,4,4,yes,Italy,5
6/4/19,Trip Verified,A380,Family Leisure,Economy Class,Dubai to Birmingham,19-Jun,4,2,2,5,5,4,4,no,United Kingdom,4
5/30/19,Not Verified,A380,Family Leisure,Economy Class,New York to Trivandrum via Dubai,19-May,1,1,1,4,3,1,2,no,United States,1
5/29/19,Trip Verified,A380,Family Leisure,Business Class,Bangkok to Hong Kong,18-Jul,5,4,3,5,3,3,4,yes,Thailand,4
5/19/19,Trip Verified,Boeing 777 300er,Couple Leisure,Economy Class,Newcastle to Kuala Lumpur via Dubai ,19-May,2,2,2,5,2,3,3,no,United Kingdom,3
5/12/19,Trip Verified,A388,Business,Business Class,Dubai to Guangzhou,19-May,3,3,1,2,1,4,2,no,United Arab Emirates,3
5/12/19,Trip Verified,A380,Business,Economy Class,Perth to London Heathrow via Dubai,19-May,4,1,1,5,5,5,4,yes,United Kingdom,1
5/10/19,Trip Verified,A380 / Boeing 777,Solo Leisure,Business Class,Bangkok to Glasgow via Dubai,19-Jan,5,2,4,5,2,2,4,no,United Kingdom,3
5/10/19,Not Verified,A380-800,Family Leisure,Economy Class,Dubai to London Heathrow,19-Apr,3,4,5,5,4,5,5,yes,United Kingdom,5
4/30/19,Trip Verified,Boeing 777-300ER,Family Leisure,Economy Class,Kuwait to Dubai,19-Apr,4,5,4,5,1,5,5,yes,Kuwait,4
4/27/19,Trip Verified,Boeing 777 / A380,Family Leisure,Business Class,Algiers to Bangkok via Dubai,18-Oct,5,4,5,5,4,4,5,yes,Thailand,5
4/26/19,Trip Verified,Boeing 777 300er,Couple Leisure,Economy Class,Dubai to Singapore,19-Apr,4,5,5,5,2,5,4,yes,Germany,5
4/25/19,Trip Verified,A380,Family Leisure,Economy Class,Manchester to Dubai,19-Apr,5,4,4,4,2,4,4,yes,United Kingdom,4
4/24/19,Trip Verified,Boeing 777-300ER,Couple Leisure,Economy Class,Budapest to Manila via Dubai,18-Nov,4,4,5,5,3,5,5,yes,Hungary,5
4/14/19,Trip Verified,A380,Couple Leisure,Economy Class,Brisbane to Dubai,19-Apr,1,4,3,3,2,4,4,no,Australia,2
4/12/19,Trip Verified,Boeing 777-300ER,Solo Leisure,Economy Class,Melbourne to Dubai via Singapore,19-Mar,5,5,5,5,5,5,5,yes,Australia,5
4/10/19,Not Verified,Boeing 777-300,Couple Leisure,Economy Class,Newark to Delhi via Dubai,19-Apr,5,5,5,5,5,5,4,yes,United States,4
4/9/19,Trip Verified,A380,Family Leisure,Economy Class,Manchester to Dubai,19-Apr,3,1,1,5,4,1,2,no,United Kingdom,1
4/9/19,Trip Verified,A380 / Boeing 777,Solo Leisure,Economy Class,London Gatwick to Islamabad via Dubai ,19-Mar,3,3,2,2,1,4,3,no,United Kingdom,2
4/8/19,Not Verified,Boeing 777 / A380-800,Family Leisure,Economy Class,Oslo to Singapore via Dubai,19-Apr,5,2,1,2,1,4,3,no,Norway,2
4/8/19,Trip Verified,"Boeing 777L, A380-800",Family Leisure,Economy Class,Oslo to Singapore via Dubai,19-Apr,4,3,1,2,1,4,3,no,Norway,2
3/20/19,Trip Verified,A380,Business,Business Class,Dubai to Manchester,19-Mar,4,2,3,5,1,5,4,yes,United Kingdom,3
3/18/19,Trip Verified,A380,Couple Leisure,Economy Class,Colombo to London via Dubai,19-Mar,1,1,1,5,2,1,1,no,United Kingdom,1
3/18/19,Trip Verified,Boeing 777 / A380,Family Leisure,Economy Class,Kuala Lumpur to London via Dubai,19-Mar,5,5,5,5,5,1,4,yes,Malaysia,5
3/18/19,Trip Verified,A380,Business,Business Class,London to Dubai,19-Mar,4,3,2,4,3,2,1,no,United Kingdom,1
3/10/19,Trip Verified,Boeing 777,Business,Business Class,Riyadh to Newcastle via Dubai,19-Mar,5,2,1,4,3,5,1,yes,United Kingdom,1
3/9/19,Trip Verified,A380,Family Leisure,Economy Class,Dubai to Düsseldorf,19-Mar,5,5,3,5,4,5,4,yes,Germany,5
3/6/19,Trip Verified,A380,Family Leisure,Economy Class,Düsseldorf to Dubai,19-Mar,5,5,5,5,2,5,5,yes,Germany,5
2/13/19,Trip Verified,Boeing 777,Couple Leisure,Economy Class,Dubai to Cairo,19-Feb,3,2,4,4,4,2,3,no,Egypt,3
2/11/19,Trip Verified,A380,Business,Business Class,Dubai to London,18-Nov,3,5,5,5,3,5,4,yes,United Arab Emirates,5
2/10/19,Trip Verified,Boeing 777,Couple Leisure,Business Class,Male to Colombo,19-Jan,3,1,4,4,1,1,1,no,Maldives,2
2/8/19,Trip Verified,Boeing 777-300ER / A380-800,Business,Business Class,Munich to Riyadh via Dubai,19-Jan,5,5,5,5,4,5,5,yes,Germany,5
2/6/19,Trip Verified,A380 / Boeing 777,Couple Leisure,Economy Class,Amsterdam to Cape Town via Dubai,19-Feb,2,1,1,3,1,3,3,no,United Kingdom,1
2/5/19,Trip Verified,A380,Business,Economy Class,Madrid to Sydney via Dubai,19-Feb,2,1,2,2,2,3,3,yes,Australia,3
2/5/19,Trip Verified,A380,Business,Economy Class,Sydney to Madrid via Dubai,19-Jan,3,2,2,2,2,3,3,yes,Australia,3
2/4/19,Trip Verified,Boeing 777-300ER,Solo Leisure,Economy Class,Brussels to Dubai,19-Jan,1,1,1,1,1,1,1,no,Belgium,1
1/29/19,Trip Verified,Boeing 777-300,Solo Leisure,Economy Class,Dubai to  Bangkok ,19-Jan,4,5,5,5,5,1,5,yes,United Arab Emirates,2
1/27/19,Trip Verified,A380,Solo Leisure,Business Class,Bangkok to Sydney,18-Oct,2,2,2,3,2,2,2,no,Australia,1
1/14/19,Trip Verified,Boeing 777-300 / A380,Solo Leisure,Economy Class,Cape Town to London via Dubai,19-Jan,1,5,1,5,1,4,3,no,United Kingdom,2
1/8/19,Trip Verified,A380,Solo Leisure,Business Class,Addis Ababa to Los Angeles via Dubai,18-Dec,5,5,5,5,2,5,4,yes,Taiwan,5
1/6/19,Trip Verified,Boeing 777/  A380,Solo Leisure,Business Class,Dubai to Manchester,19-Jan,5,5,5,5,5,5,4,yes,United Kingdom,5
1/4/19,Not Verified,Boeing 777-300ER / A380,Family Leisure,Economy Class,Bangkok to Zurich  via Dubai,18-Oct,2,5,4,5,3,5,4,yes,Thailand,4
12/29/18,Trip Verified,A380,Solo Leisure,Business Class,New York to Cairo via Dubai,18-Sep,5,5,5,4,3,4,4,yes,United States,5
12/19/18,Trip Verified,Boeing 777,Solo Leisure,Economy Class,Hamburg to Dubai,18-Dec,3,5,4,5,2,4,3,yes,Germany,5
